[2026-03-09 21:09:14] CSRF validation failed | IP: ::1 | Route: ?page=walkthrough&action=start | Method: POST | Token: (empty) | User: 1
[2026-03-09 21:09:16] CSRF validation failed | IP: ::1 | Route: ?page=walkthrough&action=saveStep | Method: POST | Token: (empty) | User: 1
[2026-03-09 21:09:19] CSRF validation failed | IP: ::1 | Route: ?page=walkthrough&action=saveStep | Method: POST | Token: (empty) | User: 1
[2026-03-09 21:09:20] CSRF validation failed | IP: ::1 | Route: ?page=walkthrough&action=skip | Method: POST | Token: (empty) | User: 1
[2026-03-10 13:55:20] CSRF validation failed | IP: ::1 | Route: ?page=pipeline&action=moveAjax | Method: POST | Token: (empty) | User: 1
[2026-03-10 13:55:23] CSRF validation failed | IP: ::1 | Route: ?page=pipeline&action=moveAjax | Method: POST | Token: (empty) | User: 1
[2026-03-10 13:55:25] CSRF validation failed | IP: ::1 | Route: ?page=pipeline&action=moveAjax | Method: POST | Token: (empty) | User: 1
[2026-03-10 14:35:59] CSRF validation failed | IP: ::1 | Route: ?page=pipeline&action=moveAjax | Method: POST | Token: (empty) | User: 1
[2026-03-10 14:36:16] CSRF validation failed | IP: ::1 | Route: ?page=pipeline&action=moveAjax | Method: POST | Token: (empty) | User: 1
[2026-03-10 19:11:17] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
[2026-03-10 19:11:17] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
[2026-03-10 19:11:17] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
[2026-03-10 19:11:17] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
[2026-03-10 19:11:17] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
[2026-03-10 19:11:17] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
[2026-03-10 19:11:17] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
[2026-03-10 19:16:32] CSRF validation failed | IP: ::1 | Route: ?page=orders&action=addItem | Method: POST | Token: (empty) | User: 1
[2026-03-10 19:17:37] CSRF validation failed | IP: ::1 | Route: ?page=orders&action=addItem | Method: POST | Token: (empty) | User: 1
[2026-03-10 19:18:02] CSRF validation failed | IP: ::1 | Route: ?page=orders&action=addItem | Method: POST | Token: (empty) | User: 1
[2026-03-10 19:19:02] CSRF validation failed | IP: ::1 | Route: ?page=orders&action=addItem | Method: POST | Token: (empty) | User: 1
[2026-03-10 20:31:54] CSRF validation failed | IP: ::1 | Route: ?page=orders&action=addItem | Method: POST | Token: 5f992341... | User: 1
[2026-03-10 20:31:58] CSRF validation failed | IP: ::1 | Route: ?page=orders&action=addItem | Method: POST | Token: 5f992341... | User: 1
[2026-03-11 14:58:12] CSRF validation failed | IP: ::1 | Route: ?page=pipeline&action=updateDetails | Method: POST | Token: 3dbdf6e5... | User: 1
[2026-03-11 18:34:56] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
[2026-03-11 18:34:56] CSRF validation failed | IP: ::1 | Route: ?page=login&action=index | Method: POST | Token: (empty) | User: anonymous
